id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1281738390342455296,1281738390342455296,1594425220000,2020-07-10,19:53:40,Est (heure d?été),2989058467,stormy_faye,Stormy Faye,,"Stormy Faye The Christian Runaway

Fact: 
Masks are easier to breathe through than ventilators. 😷
.
.
#Pandemic #Coronavirus #Covid19 #WearYourMask #WearAMask #FacialMasks #ProtectiveMask #PublicHealth #PublicSafety…  https://www.instagram.com/p/CCew_xXpBar/?igshid=1tv114eez97qv …",[],['https://www.instagram.com/p/CCew_xXpBar/?igshid=1tv114eez97qv'],[],0,0,0,"['#pandemic', '#coronavirus', '#covid19', '#wearyourmask', '#wearamask', '#facialmasks', '#protectivemask', '#publichealth', '#publicsafety']",[],https://twitter.com/Stormy_Faye/status/1281738390342455296,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '2989058467', 'username': 'Stormy_Faye'}]",,,,
1281738382687842304,1281738382687842304,1594425218000,2020-07-10,19:53:38,Est (heure d?été),2779160642,lisadianne72,Lisa A,,"There is a HUGE diff overwhelmed hospitals in large cities & rural cities without infrastructure at all. That's why #ATX is taking in #COVID19 despite dwindling ICU beds & why EVERYONE needs to #WearAMask 
Its a choice btw makeshift urban hospitals and dying in rural homes",[],[],[],0,0,1,"['#atx', '#covid19', '#wearamask']",[],https://twitter.com/lisadianne72/status/1281738382687842304,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '2779160642', 'username': 'lisadianne72'}]",,,,
1281738378023591939,1281738378023591939,1594425217000,2020-07-10,19:53:37,Est (heure d?été),395644769,spicytango95,drake dougherty,,“Lol watch me attempt to verbally berate some guy in Walmart like I’m some hero. #StayHome #Lockdown #WearAMask #ImHelpingIThink” bunch of a Karen Kunts 👌🏼😂 https://twitter.com/realjuliasong/status/1281667780794814465 …,[],['https://twitter.com/realjuliasong/status/1281667780794814465'],[],0,0,0,"['#stayhome', '#lockdown', '#wearamask', '#imhelpingithink']",[],https://twitter.com/SpicyTango95/status/1281738378023591939,False,https://twitter.com/realjuliasong/status/1281667780794814465,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '395644769', 'username': 'SpicyTango95'}]",,,,
1281738353931628544,1281738353931628544,1594425211000,2020-07-10,19:53:31,Est (heure d?été),594151144,kdsilva03,Kathleen Silva,,#LoveWins ... Always. #WearAMask #EverUpward https://twitter.com/K_JeanPierre/status/1281599589435482112 …,[],['https://twitter.com/K_JeanPierre/status/1281599589435482112'],[],0,0,0,"['#lovewins', '#wearamask', '#everupward']",[],https://twitter.com/KDSilva03/status/1281738353931628544,False,https://twitter.com/K_JeanPierre/status/1281599589435482112,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '594151144', 'username': 'KDSilva03'}]",,,,
1281738352455151617,1281738352455151617,1594425211000,2020-07-10,19:53:31,Est (heure d?été),256195962,elajnaturally,Elaj Naturally,,@neeratanden where do I ring an alarm bell for a front office worker at #LabCorp that refused to wear a mask while serving high risk patients getting blood & lab work done? #WearAMask #COVID__19 #mask #lagunahills,['neeratanden'],[],[],0,0,0,"['#labcorp', '#wearamask', '#covid__19', '#mask', '#lagunahills']",[],https://twitter.com/elajnaturally/status/1281738352455151617,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '256195962', 'username': 'elajnaturally'}, {'user_id': '125453969', 'username': 'neeratanden'}]",,,,
1281738343663964160,1281738343663964160,1594425209000,2020-07-10,19:53:29,Est (heure d?été),22147139,bigmayns,Phil Maynard,,"This whole mask thing reminds me of when the teachers says, “We’re not going to lunch until all voices are off.” Well if some of you don’t start wearing the mask, we’re never going to get to lunch.  #wearamask",[],[],[],1,0,5,['#wearamask'],[],https://twitter.com/bigmayns/status/1281738343663964160,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '22147139', 'username': 'bigmayns'}]",,,,
1281738193294032897,1281610977448996866,1594425173000,2020-07-10,19:52:53,Est (heure d?été),18636639,integralpr,Hi it’s Annette!,,"I wear (and make) masks everywhere to respect & protect our elders, the immuno compromised, friends & family, and complete strangers. Sending my prayers to your family and friends #WearAMask  pic.twitter.com/5eiiuuuWva",['julianakedzkam'],[],['https://pbs.twimg.com/media/EcmmF8cXoAMQECp.jpg'],1,0,4,['#wearamask'],[],https://twitter.com/integralpr/status/1281738193294032897,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '18636639', 'username': 'integralpr'}, {'user_id': '592187353', 'username': 'julianakedzkam'}]",,,,
1281738179666677761,1281738179666677761,1594425170000,2020-07-10,19:52:50,Est (heure d?été),2873931307,darthprater565,📼discountOrsonWelles📼,,There's a $500 fine now for not wearing a mask in public. Get fuuuuuuuuucked nerds #WearADamnMask #WearAMask  pic.twitter.com/t9wyWlmnHe,[],[],['https://pbs.twimg.com/media/EcmmE2vWoAAvVRM.jpg'],0,1,5,"['#wearadamnmask', '#wearamask']",[],https://twitter.com/DarthPrater565/status/1281738179666677761,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '2873931307', 'username': 'DarthPrater565'}]",,,,
1281738148356202497,1281738148356202497,1594425162000,2020-07-10,19:52:42,Est (heure d?été),224345562,victorysunpr,"Vanessa Stiles, APR",,"#Intern field trip to #VictoryField today for @INDairy @SecondHelpings #icecream treat. 

#WearAMask #selflessservice #events #loveindy pic.twitter.com/6kijJKmXxj","['indairy', 'secondhelpings']",[],['https://pbs.twimg.com/media/EcmmB0KXsAAvdzc.jpg'],0,0,3,"['#intern', '#victoryfield', '#icecream', '#wearamask', '#selflessservice', '#events', '#loveindy']",[],https://twitter.com/VictorySunPR/status/1281738148356202497,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '224345562', 'username': 'VictorySunPR'}, {'user_id': '39353177', 'username': 'INDairy'}, {'user_id': '18942178', 'username': 'SecondHelpings'}]",,,,
1281738067083169799,1281660881923956736,1594425143000,2020-07-10,19:52:23,Est (heure d?été),1520208854,lellyparker,Lelly 🇬🇧 🇪🇺🕷❄️,,Covid-19 attacks the lungs making it hard to breath. On the other hand masks do not inhibit breathing in any way. #WearAMask #WearADamnMask,['ian56789'],[],[],1,0,1,"['#wearamask', '#wearadamnmask']",[],https://twitter.com/LellyParker/status/1281738067083169799,False,,0,"Jacksonville, Duval County, Florida, United States of America",,,,,,"[{'user_id': '1520208854', 'username': 'LellyParker'}, {'user_id': '403647191', 'username': 'Ian56789'}]",,,,
